size,threads,t_min,t_avg,s_min,s_avg
20000,1,0.478641,0.539479,1.0000,1.0000
20000,2,0.255033,0.268642,1.8768,2.0082
20000,4,0.134430,0.143567,3.5605,3.7577
20000,7,0.078840,0.091515,6.0711,5.8950
20000,8,0.072592,0.078178,6.5935,6.9007
20000,16,0.076957,0.082182,6.2196,6.5644
20000,20,0.076033,0.082193,6.2952,6.5636
20000,40,0.076864,0.087013,6.2271,6.2000
