Threads,Init_Time,Compute_Time,Total_Time,Speedup,Efficiency
1,7.066248,10.396216,17.462464,0.996111,99.611077
2,3.555969,4.991218,8.547187,2.035120,101.755985
4,1.758441,2.658842,4.417283,3.937839,98.445966
7,1.027976,1.535943,2.563920,6.784358,96.919403
8,0.934700,1.307433,2.242133,7.758036,96.975446
16,0.534190,0.719031,1.253221,13.879873,86.749208
20,0.586228,0.619658,1.205886,14.424708,72.123541
40,0.422853,0.621438,1.044291,16.656806,41.642014

