Threads,Init_Time,Compute_Time,Total_Time,Speedup,Efficiency
1,1.689473,2.481183,4.170656,1.044714,104.471421
2,0.863581,1.251751,2.115332,2.059792,102.989608
4,0.440618,0.645187,1.085804,4.012826,100.320640
7,0.257645,0.372615,0.630259,6.913254,98.760771
8,0.229773,0.333191,0.562964,7.739651,96.745635
16,0.136635,0.185789,0.322424,13.513713,84.460703
20,0.191799,0.247168,0.438968,9.925891,49.629453
40,0.117578,0.154049,0.271627,16.040897,40.102242

