threads,avg_time,std_dev,min_time,max_time
1,26.966609,.108843,26.805587,27.323812
2,14.105176,.916819,13.552509,17.260369
3,9.193025,.019467,9.161872,9.250598
4,6.986090,.063718,6.924797,7.105744
5,5.589489,.042391,5.563437,5.694215
6,4.701833,.045858,4.644198,4.796629
7,4.059275,.040099,3.989764,4.135790
8,3.584942,.022315,3.536078,3.611596
9,3.225356,.016462,3.183509,3.251506
10,2.938858,.014142,2.911296,2.965336
11,2.664982,.012688,2.645730,2.688317
12,2.436448,.013190,2.417110,2.461864
13,2.279397,.010295,2.263217,2.303829
14,2.117705,.012529,2.093181,2.138691
15,1.997707,.020346,1.963301,2.049065
16,1.866449,.019544,1.833953,1.907688
17,1.788008,.009273,1.773058,1.802519
18,1.723744,.017944,1.696130,1.764176
19,1.661613,.039319,1.611928,1.755507
20,1.570968,.015362,1.544254,1.600311
21,1.529557,.019697,1.498986,1.566835
22,1.505100,.025019,1.470385,1.549626
23,1.442153,.025416,1.413619,1.498845
24,1.378960,.012688,1.356961,1.399885
25,1.344256,.017088,1.317357,1.376028
26,1.451897,.188337,1.279435,1.824865
27,1.215778,.019924,1.193709,1.263499
28,1.208446,.012922,1.186338,1.233381
29,1.200767,.011000,1.183583,1.224995
30,1.194550,.007874,1.176341,1.209792
31,1.187199,.016673,1.132430,1.221349
32,1.249461,.129135,1.143558,1.501170
33,1.201225,.095514,1.124590,1.476512
34,1.140368,.031464,1.080300,1.200217
35,1.065035,.012845,1.043078,1.093689
36,1.048882,.026400,1.009073,1.101988
37,1.033134,.024020,0.984994,1.079531
38,.996907,.017860,0.969389,1.036917
39,.971966,.028774,0.919737,1.039215
